装备名称,属性,值
尼米兹号航空母舰,舰种,航空母舰
尼米兹号航空母舰,舰级,尼米兹级航空母舰
尼米兹号航空母舰,舰名出处,切斯特·W·尼米兹
尼米兹号航空母舰,拥有国,美国
尼米兹号航空母舰,下订日期,1967年3月31日
尼米兹号航空母舰,建造者,纽波特纽斯造船公司
尼米兹号航空母舰,单艘造价,10亿美元（1975年）
尼米兹号航空母舰,動工日期,1968年6月22日
尼米兹号航空母舰,下水日期,1972年5月13日
尼米兹号航空母舰,入役日期,1975年5月3日
尼米兹号航空母舰,重新歸類,CVN-68
尼米兹号航空母舰,母港,基萨普海军基地
尼米兹号航空母舰,格言,"Teamwork, a Tradition"
尼米兹号航空母舰,綽號,"""Old Salt"""
尼米兹号航空母舰,目前状态,服役中
尼米兹号航空母舰,船徽,
尼米兹号航空母舰,排水量,"100,020長噸（112,020短噸）"
尼米兹号航空母舰,长度,"全长：1,092英尺（332.8米）水线：1,040英尺（317.0米）"
尼米兹号航空母舰,型宽,全长：252英尺（76.8米）水线：134英尺（40.8米）
尼米兹号航空母舰,吃水,最大：37英尺（11.3米）限制：41英尺（12.5米）
尼米兹号航空母舰,動力來源,"2座西屋A4W核反应堆4座蒸汽涡轮发动机4轴260,000马力（194兆瓦）"
尼米兹号航空母舰,最高速度,31.5節（58.3公里每小時）
尼米兹号航空母舰,續航力,无限距离；20-25年
尼米兹号航空母舰,乘員,水兵：3200飞行大队：1500其他：500
尼米兹号航空母舰,偵搜系统,AN/SPS-48E 3-D空中搜索雷达AN/SPS-49(V)5 2-D空中搜索雷达AN/SPQ-9B目标截获雷达AN/SPN-46空中管制雷达AN/SPN-43C空中管制雷达AN/SPN-41着陆辅助雷达4个Mk 91 NSSM引导系统4个Mk 95雷达
尼米兹号航空母舰,武器裝備,2 × RIM-7海麻雀导弹2 × RIM-116拉姆导弹2 × 方阵近迫武器系统加特林机砲
尼米兹号航空母舰,電戰系统,SLQ-32A(V)4电战反制系统SLQ-25A Nixie鱼雷反制系统
尼米兹号航空母舰,裝甲,机密
尼米兹号航空母舰,艦載機,90架标准舰载机与直升机
库兹涅佐夫号航空母舰,舰种,航空母舰
库兹涅佐夫号航空母舰,舰级,库兹涅佐夫蘇聯海軍元帥级
库兹涅佐夫号航空母舰,拥有国,苏联/ 俄羅斯
库兹涅佐夫号航空母舰,下订日期,1981年3月3日
库兹涅佐夫号航空母舰,建造者,尼古拉耶夫造船廠涅夫斯基工程設計局
库兹涅佐夫号航空母舰,動工日期,1983年2月22日
库兹涅佐夫号航空母舰,下水日期,1985年12月4日
库兹涅佐夫号航空母舰,入役日期,1991年1月21日
库兹涅佐夫号航空母舰,目前状态,维修已叫停，進入封存
库兹涅佐夫号航空母舰,排水量,"标准：46,540噸满载：59,100噸"
库兹涅佐夫号航空母舰,长度,306.45米（飛行甲板）270米（水缐）
库兹涅佐夫号航空母舰,型宽,71.95米（飛行甲板）33.4米（水缐）
库兹涅佐夫号航空母舰,吃水,9.76米
库兹涅佐夫号航空母舰,動力輸出,"4×37MW渦輪機9×1,500 kW渦輪發電機6×1,500 kW柴油發電機4軸"
库兹涅佐夫号航空母舰,鍋爐,"8蒸氣鍋爐,149兆瓦"
库兹涅佐夫号航空母舰,功率,"41,000匹馬力"
库兹涅佐夫号航空母舰,最高速度,29節
库兹涅佐夫号航空母舰,續航力,5天7100公里（时速32节）
库兹涅佐夫号航空母舰,乘員,"1,960船員626飛行組員 40旗幟員（3,857房間）"
库兹涅佐夫号航空母舰,武器裝備,"6 ×AK-630防空砲（6具30mm口徑，每分鐘6千發, 24千發彈）8×CADS-N-1 栗子近迫防衛砲（2具30mm口徑3K87格林機炮）  12× P-700花岗岩/SS-N-19海难反艦飛彈24× 8槽3K95匕首/SA-N-9护手套防空飛彈VLS（192具垂直發射系統;3秒一發）2×RBU-12000王蛇-1反潛火箭（60發）2× PK－210× PK－10干扰箔条发射器"
库兹涅佐夫号航空母舰,電子設備,1×“天空哨兵”相控阵雷达1× MR－710“顶板”三座标对空/对海雷达2×MR－320M“双支撑”对海雷达4× MR－360“十字剑”火控雷达（用于SA－N－9）8× 3P37“热闪”火控雷达（用于SA－N－11）1×“蛋糕台”战术空中导航雷达
库兹涅佐夫号航空母舰,艦載機,總數30架 4× Ka-31直昇機2× Ka-27直昇機18× Su-33(計劃換裝20～24架米格-29K)6× 米格-29K
戴高乐号航空母舰,舰种,航空母艦
戴高乐号航空母舰,舰级,戴高樂級
戴高乐号航空母舰,舰名出处,夏爾·戴高樂
戴高乐号航空母舰,拥有国,法國
戴高乐号航空母舰,前型,克里孟梭級航空母艦
戴高乐号航空母舰,次型,新世代航空母艦
戴高乐号航空母舰,建造者,法國船舶建造局（法语：DCNS）（DCN）布雷斯特造船廠
戴高乐号航空母舰,動工日期,1989年4月
戴高乐号航空母舰,下水日期,1994年5月
戴高乐号航空母舰,入役日期,2001年5月18日
戴高乐号航空母舰,退役日期,預計2038年
戴高乐号航空母舰,母港,土倫港
戴高乐号航空母舰,結局,現役
戴高乐号航空母舰,排水量,"35,000噸满载：42,500噸"
戴高乐号航空母舰,长度,261.5公尺
戴高乐号航空母舰,型宽,64.36米（甲板）31.5米（水線）
戴高乐号航空母舰,吃水,9.43米
戴高乐号航空母舰,動力輸出,2具英國通用電氣公司-阿爾斯通61SW蒸氣渦輪引擎，雙軸推進
戴高乐号航空母舰,鍋爐,2具阿海琺K15壓水式核能反應爐每具輸出150MW
戴高乐号航空母舰,功率,"83,000匹馬力（60MW）"
戴高乐号航空母舰,發電機,"12具柴油引擎，輸出電壓440伏特/60赫茲4具4,000Kw4具1,100Kw4具250Kw"
戴高乐号航空母舰,電力輸出,"21,400Kw"
戴高乐号航空母舰,最高速度,27節（50公里/小時）
戴高乐号航空母舰,續航力,無限制
戴高乐号航空母舰,乘員,"船艦組員1,150人飛行大隊600人"
戴高乐号航空母舰,射控裝置,SENIT-8戰鬥系統
戴高乐号航空母舰,武器裝備,4 x 八管史維垂直發射系統可發射阿斯忒里翁15型地對空飛彈2 x 六管薩德哈爾防空自衛系統可發射西北風（Mistral）防空飛彈8 x 20公釐F2近迫防衛機砲
戴高乐号航空母舰,電子設備,DRBV 26D 對空搜索雷達DRBV 15C 低空搜索雷達 SMART-S Mk2相位陣列雷達Arabel 目標照明雷達DRBJ 11 B 三維對空搜索雷達（已拆除）
戴高乐号航空母舰,電戰系统,ARBR 21 偵測器ARBB 33 反制套件ARBG2 MAIGRET 攔截彈4 × Sagaie 誘餌發射器SLAT 魚雷反制套件
戴高乐号航空母舰,艦載機,30-40架各型飛機24架阵风戰鬥機2架E-2空中預警機AS-565豹式直昇機等
戴高乐号航空母舰,飛行設施,"最大長261.5公尺、最大寬64.34公尺飛行甲板實際面積12,300平方公尺以上機庫容積為138.5 x 29.4 x 6.1公尺，最多可收容23架固定翼機、2架旋翼機2座最大承載力35噸的升降機 2座C-13-3蒸氣彈射器3,600噸航空燃油2,100噸空用械彈"
阿利伯克级驱逐舰,舰种,神盾驅逐艦
阿利伯克级驱逐舰,舰名出处,阿利·伯克級驅逐艦
阿利伯克级驱逐舰,拥有国,美国
阿利伯克级驱逐舰,所有者,美國海軍
阿利伯克级驱逐舰,前型,紀德級史普魯恩斯級
阿利伯克级驱逐舰,次型,朱姆沃爾特級DDG(X)
阿利伯克级驱逐舰,建造者,英戈爾斯造船廠巴斯鋼鐵廠現代重工
阿利伯克级驱逐舰,单艘造价,單價18.43億美金（DDG 114-116，2011/12年度）
阿利伯克级驱逐舰,動工日期,"1988年迄今：
1988 - 1996 年（Flight I）
1995 - 1997 年（Flight II 批次）
1997 - 至今（Flight IIA 批次）
2019 - 至今（Flight III 批次）"
阿利伯克级驱逐舰,入役日期,74艘
阿利伯克级驱逐舰,目前状态,現役
阿利伯克级驱逐舰,計劃數,原計劃98艘，目前預計22艘伯克型Flight III取代提康德羅加級巡洋艦
阿利伯克级驱逐舰,排水量,"满载：8,315噸（Flight I構型）8,400噸（Flight II構型）9,200噸（Flight IIA構型）9,800噸（Flight III構型）"
阿利伯克级驱逐舰,长度,153.77米（Flight I/II構型）155.29米（Flight IIA構型）155.448米（Flight III構型）
